AMH,CBX2,CTNNB1,DHH,DKK1,DMRT1,FGF9,FOXL2,GATA4,NR0B1,NR5A1,PGD2,RSPO1,SOX9,SRY,UGR,WNT4,WT1mKTS,WT1pKTS,PseudoTime
4.8166681173,3.4870468308,10.480430494,2.6106207393,3.5279096371,4.3492332754,1.223860458,10.6862612791,10.6598647096,10.3424118767,4.3524525927,5.1870404164,10.5687675432,6.4406723126,3.6310236581,0.1143341934,9.9847379399,10.2897663593,2.5027197662,0.8985
3.5693528617,3.8106524068,10.5921910827,2.9742368278,2.0128899247,3.8219101325,4.1942092957,10.6150055806,10.4198171708,10.6705261593,1.3488596965,1.6154208796,10.1674962973,5.9249686297,1.121641119,0.7262159043,10.3526130375,10.337838821,3.9097980406,0.6553899999999999
5.1697052708,1.0358078816,10.2486844487,1.1655947237,4.5399970108,0.6918400888,2.94534755,10.3996691295,10.4239566568,10.7406142626,2.7605858471,4.7025378448,10.434590734,2.1294880353,1.0763329549,0.6656663797,10.470483088,10.4050884876,6.5578208514,0.47744
6.8745974241,2.5297533691,10.979232241,3.3125851963,0.146479097,1.8703704547,3.023703163,9.931740947,10.1594500051,10.6670217879,2.5831260988,0.0420357795,10.2653728279,1.5554948131,3.017185793,2.5202875185,10.4149920117,10.444590444,6.5639010908,0.4787
1.9176720277,5.1182328172,10.7313363037,3.0762551356,5.1398284683,1.9733982152,4.1224211377,10.0464638441,10.558727483,10.6245911639,1.9626085288,4.0099975368,10.5091960222,2.6847056549,0.4569926779,0.3540714652,10.2731846041,10.3824449987,3.5856992237,0.98747
1.8951930475,10.2909585281,5.3962646471,4.9892738515,3.813039803,0.6014531462,1.8606845405,2.2131111272,10.3998553335,10.0990494607,10.3176770035,1.7121665893,1.5296934606,4.3488066164,8.852149993,7.390463947,10.3367598586,10.4297357214,10.6543708017,0.16165
3.2791333691,2.3314123834,10.0657090073,1.9651996601,2.7141988141,5.5010897795,3.6413303335,10.0510762253,10.5574098206,10.2504941558,5.3922914581,4.0446980533,10.7220346805,4.0981287006,4.1224578841,3.4714549705,10.3727688463,10.8526795911,6.7808229241,0.50125
3.0570897928,0.0094589656,10.5147857385,2.5592799899,3.9307134293,0.7895323414,2.4486049276,3.1248425931,10.427358884,9.9895590499,6.6260794596,3.8489922445,10.5944227421,0.2577768492,3.7109341291,1.0842702377,10.3599170926,10.639012389,10.5806284271,0.8985
1.1013782405,10.6684607007,4.7082125283,4.1432752585,5.6364182448,4.5047148967,4.4451989374,5.760923143,10.5132143678,7.0423853425,10.3687518321,2.9471012899,3.1635281833,1.5429168286,2.9112104624,10.8128475445,3.5594292595,10.7595953001,10.7399195043,0.08772
3.9722479619,6.4380162484,10.589022522,2.4689492011,0.8349639365,4.0049650399,3.6290155507,8.7252285488,10.3027348347,10.1404840361,1.8630774468,4.3897023941,10.5281567547,4.5921371727,5.0282991843,4.1680804608,10.7143239784,10.5318711597,9.6236666594,0.35589
3.6154208275,1.1224311846,9.9651703741,2.9130317303,1.1590240822,5.5277462146,3.1483620339,10.2006509259,10.6534976665,10.2973858318,3.0603253169,0.526220763,10.7597690495,2.9113418692,2.7671868934,6.141063774,10.6634809674,10.4598073346,5.1484277892,0.73434
3.735105202,5.0965878373,10.5127551962,3.4725693633,3.4738170603,1.2461786447,4.4200230361,10.6309100726,10.7151872865,10.5185650843,7.642840971,0.1427935508,10.0351847726,3.018859266,1.6460075713,3.3477494594,10.1748520361,10.3434734729,1.9595765507,0.46742
1.2587002868,2.8060297904,6.8508520312,2.5070998326,9.6440947846,9.1399693713,0.0592907939,4.2358929637,10.1603603813,10.4325784999,10.3464330831,4.6894487091,5.783832283,9.4124980441,9.4256228159,3.7337937642,4.240516804,10.7441639121,10.5299219937,0.47494
4.533820438,8.8502926374,10.4981953109,2.8893971893,3.1525006915,2.8785870962,3.8032970797,8.5355293637,10.3659095237,10.312052704,7.2201568726,5.6171841602,10.6648112499,3.7361031563,4.2816860752,2.2723905135,10.5376259172,10.1128721972,9.3115920998,0.35338
4.6799873432,2.9464260407,10.1060529749,3.1021417057,0.296659008,1.8940390233,5.5189667344,10.6393865378,10.3539575712,10.3400249215,3.2088367365,2.9430227766,10.6056187919,1.0474675662,4.5607194567,4.4471838572,10.3019730304,10.7503819954,4.0550011626,0.58145
6.4482142295,4.2685707066,10.1669200454,1.8195507662,3.3238256856,4.5960748545,3.9499627513,10.5836043328,10.4368121002,10.4793493985,5.1991570749,4.3369698201,10.3991651603,5.573370505,1.2359628114,5.702272266,10.5371866384,10.3930827543,4.4153596076,0.8972399999999999
4.9237559014,5.2980089015,10.4768410087,5.015004933,4.4503135791,0.8168552902,0.2431052662,10.1433633603,10.9230747317,10.1995226676,1.5684640205,3.7219246151,10.2350358052,2.2495234345,1.6868997112,6.6663309894,10.4551930883,10.5170283175,4.2048885112,0.73058
4.6760052721,1.6541107546,10.4466845995,2.4199448035,4.0477219651,7.1600209507,3.5012850022,10.8739171469,10.2702689882,10.352192847,3.876719736,5.6793962242,10.449217565,4.4940139055,1.9112130667,6.4061518191,10.441094374,10.0082918409,2.1672578964,0.71303
3.596421148,2.2454128308,10.5744854477,3.7558858679,6.0578965968,1.9382190459,0.9069456752,10.2553875644,10.3742125996,10.7410031624,4.0230506338,5.7761173931,10.3959430375,4.9090232898,3.9596284946,2.4186732671,10.5152541247,10.1625512659,5.6831925941,0.31203
3.6243750274,0.6580061178,10.3055243094,6.6714804388,4.561922906,2.3798083471,5.4956007059,10.1314302384,10.6219155975,10.606208655,2.4231526622,1.3722826477,10.4065584684,0.7421497129,5.1989879696,3.3790439779,10.4641165726,10.5223447006,3.314330102,0.5526300000000001
2.2493177339,10.5576155283,1.7047899866,2.1947660719,2.4249209797,3.9486240794,1.8451305239,3.3677772756,10.239012291,10.1996839273,10.4881360858,4.5057307958,4.8815860135,3.7600904694,9.9546098165,6.8429616073,9.6484502758,10.1171660323,10.6051998299,0.19549
0.2716316587,2.82174829,10.4185504701,3.0215433215,0.5425959128,6.1976428533,2.8644979955,10.4126953718,10.7445581926,9.9833252662,4.0761779568,4.2309272068,10.695014375,2.5059735567,6.1626240853,3.7913379057,10.4318136928,10.3363148548,1.0624622635,0.7055100000000001
4.7578836109,8.6209238016,6.6658710247,2.2811354571,1.6148670463,1.9135956348,0.5211725001,3.9912397984,10.1719781653,10.043920322,10.3284363619,4.5498039296,6.9382425157,0.9038669043,10.6126302418,4.3126139931,10.3610600823,10.5038477657,10.5234101616,0.23058
2.0342551084,0.4993628215,10.5522388138,4.6210707497,0.7726881105,3.7570889581,1.5651199017,10.4399020716,10.5098155407,10.5611221649,4.7511936401,2.5227689912,10.5374177472,1.8967085409,4.121681166,4.211990907,10.3730616096,10.239305366,4.1475986635,0.39474
1.1612188948,10.5438047485,1.0233607891,4.9959070199,3.8951109081,4.5204884195,3.3015184727,4.1521190085,10.4822726866,10.1543007131,10.5784381132,5.4600488811,2.7685562266,2.7472808072,9.6662444903,7.4045282804,9.8145768527,10.3279177272,10.1034394463,0.12782
1.4704537363,4.0268816451,9.7486125956,0.0945755564,7.9368210719,9.4643193175,2.3815520143,3.6360868989,10.4464137312,10.0842067767,8.474011484,5.1130439713,10.4758268638,5.8773696613,8.7050792633,3.8282939495,10.3078987586,9.9551233735,10.1341573047,0.32581
1.7323062117,3.4333274016,10.7086116791,3.2315935803,3.1174696932,4.6600987685,3.3305924545,10.6845509953,9.8179253632,10.8184053679,2.2876831461,3.7035755021,10.3590848061,6.463683899,3.2126677801,1.0502727259,10.1197332061,10.3950076799,5.0806120644,0.68296
0.7782518902,1.6309514563,10.5044420387,2.3488023129,2.6257819375,2.6991338446,3.7222115884,10.5903656499,10.6719532708,10.3665851293,4.6065380802,1.9891358396,10.0884155641,4.8241858297,5.1667106506,2.3524373619,10.4666353282,10.4713640069,3.9992718726,0.93609
1.0997616958,1.2790879673,10.639045985,3.4825251506,3.7653058016,3.1813430119,3.7671250514,10.5284712993,10.407391583,10.2654456856,3.2161398557,2.303535848,10.1845358147,1.7838837195,4.1015574208,3.9970772045,10.6450819635,10.5304707581,3.5039144314,0.5589
0.9868035266,3.3791585928,10.7324096414,0.759134285,2.9959189833,3.5729562692,4.5247786847,10.3423257123,10.6389007365,10.6270092037,5.0860196524,2.9620259595,9.9143570978,5.4747205175,4.2553406114,2.1861818452,10.5132590014,10.2667046376,4.1907304742,0.57895
0.4383197138,4.8482343567,10.6063313805,1.5668079362,3.0070206731,1.6764014361,1.3478742297,10.0966514099,10.1925461044,10.569952404,3.3694387046,3.7772629668,10.3170457465,2.0018572745,1.7696637321,2.5333703958,10.6705470332,10.5647016595,7.413933576,0.90351
2.2596147471,2.8038523859,10.2541302906,5.0147785754,2.5109086618,1.8729498992,0.9356799126,11.0201838021,10.293295915,10.6392922533,5.90703467,4.8848587466,10.0903795162,5.5710018287,1.2792619228,4.3981387438,10.0861904513,10.5172975221,3.6171737806,0.8208
3.5123942992,4.5830154563,10.3962388032,3.9389129211,3.1439253745,0.3065010331,2.5095152718,10.1564249506,10.5885529681,10.2538987458,0.307830009,3.0565823507,10.7219641953,1.9395629123,2.3287998174,4.8731625295,10.7295906439,10.2746919727,4.8700700224,0.5401
5.5377860236,4.2954968878,10.5403147492,3.3710810448,8.0111402631,7.046736548,4.5369981367,5.5561026666,10.3764177595,10.1309175217,5.3026580682,4.4558513254,10.0578516193,1.0642380374,8.1304544933,3.7485346533,10.6431201296,10.3876599946,10.2051127138,0.5162899999999999
0.8398094935,4.7271173345,10.5559618298,2.0908464875,2.4316413086,3.4219876642,1.4698944249,10.5002162807,10.2095811109,10.3742094307,3.902613185,2.1723292038,10.5521085667,2.7211548066,3.0505862085,0.4264414009,10.7425962439,10.2445488807,5.2793830423,0.53133
1.3500863032,3.1264775015,10.6435997222,3.9411380703,2.4045446546,3.7334811627,4.9029217707,10.7801759445,9.9945128348,10.5659080181,4.4697661164,3.8002777231,10.4811854569,2.1338171979,2.0518322057,3.5385552866,10.2859634396,10.3554034508,2.4444188872,0.6691699999999999
5.5169698838,10.2257743689,0.0294847436,3.7570039527,6.1984881672,4.0014563903,3.9108214997,0.3762597787,9.9824727218,10.1353206518,10.3901106711,1.2433432153,4.7670048891,5.3049380232,10.3721674872,5.048602322,9.6854803794,9.9406514951,10.9243645965,0.1829599999999999
4.5046017214,2.3069323741,10.5873433991,3.8073678418,0.020473739,2.5566999007,1.0120744142,10.3928724092,10.0539999724,10.49514233,6.676256525,1.3297021671,10.5529814749,1.6966694848,1.3839581762,4.3949646854,10.2114540039,10.7799799684,0.1124998973,0.67419
3.899142178,3.2615532097,10.3630608303,2.7397334749,3.6004914656,4.217277338,4.6419202582,10.3064893895,10.2583721587,10.4104248563,2.4249734584,3.7227830646,10.6116160212,0.2239823432,4.0521052914,1.6983956132,10.466940908,10.7290678744,5.5234208966,0.81704
0.742689078,10.9430428259,1.2466606155,2.0131851015,5.6044515652,5.4979589625,1.9353585604,2.5590293793,10.7026203298,5.1440710787,10.8591999674,3.3040614406,5.7044748893,4.922737228,2.411893414,10.1554564419,3.3706299903,10.30843229,10.8630888547,0.06266
3.0519289515,0.1994532536,10.1251024065,2.3960449156,2.495336787,2.3735514711,1.1584915459,10.7588186542,10.5630912944,10.1289845843,1.2432459911,2.5164537854,10.5111100564,5.6331505797,3.5775789105,3.4368391334,10.5517803225,10.4857183479,5.1004643558,0.6416
2.470316843,3.8474874174,10.5991477043,1.9948601551,2.2223234722,5.5878258071,3.8215155915,10.3708578252,10.3671510255,10.5997497496,6.004573035,1.5692674721,10.2840711564,1.8676540788,3.1209453483,1.4301810895,10.4803532874,10.4720104663,1.2017761503,0.6654100000000001
0.7924284044,10.6640979925,4.3225646445,1.3149728288,5.6915471456,6.3277472303,4.7376424939,0.818286575,10.2081337096,10.1529506657,10.3355227245,5.9892318432,4.5522790915,4.7589231921,9.8559522653,3.1775773737,10.3906961326,9.9295717754,10.2652027507,0.15789
2.6442397415,3.6392977489,10.5476911068,1.8567069108,4.999692518,0.1534353246,3.6425843143,10.3783515094,10.6001477541,10.5616304589,1.7999148161,3.4382470659,10.0949590785,1.9508325209,3.3697645097,2.531701163,10.4155061033,10.5638472272,5.7044998246,0.56266
5.4090031248,0.4009016957,10.6261728666,2.7953414926,3.6703331649,1.9560383908,3.3480818814,10.1223073656,10.7128731094,10.560801142,4.6839263035,2.7874299441,10.1617553063,0.6190264906,5.639563149,4.1009120986,10.0423694051,10.7686012814,3.5586737438,0.52005
4.0177801132,3.4464060665,9.9150740353,1.6254376793,0.57770141,1.5172058651,2.1092576927,9.3945536879,10.7449719779,10.4652190821,3.4016246314,3.2507225281,10.4196250027,4.8511059473,1.9724238095,4.9458602064,10.6394660397,10.304278288,9.8119651321,0.38221
1.9427117042,10.1810063905,8.7827588026,1.1924786013,3.5668457535,2.8701586179,1.228384982,3.8689414249,10.0360366402,9.5819853891,10.4317222072,1.575262103,8.5963981639,2.6855557981,10.1314178065,8.4570896045,10.2455365369,9.9948784003,10.0687769508,0.18045
3.8645033151,2.4263494701,10.1724513399,5.2167443747,3.3070836512,5.913457285,1.2077724823,10.7038269451,10.4890585412,10.6215996748,4.0904320559,2.3018709424,10.7259837864,2.1391285992,0.4887514774,2.6007026465,10.0384660673,10.2986755021,3.9973604286,0.46241
5.1662935526,0.8995555263,10.1991429074,2.979128329,2.5468879185,2.5948547288,3.5435031865,10.2818662747,10.6927145796,10.4282380131,5.778305614,4.0264802988,10.4627430961,4.7583387248,4.4246819792,1.3768705689,10.6290221536,10.3173258141,6.6889433512,0.53258
2.4106652821,0.6222376939,10.2535455016,5.1643164688,3.9340578784,2.4236382368,3.3011505527,10.3281217766,10.9080704631,10.1826189094,2.5711299638,2.7398718352,10.389387406,0.3192564834,0.6366028668,2.6188369397,10.7059956506,10.3629808159,2.4763360049,0.77193
2.4190901955,1.7342179341,10.4000862575,5.9433073038,5.5072523112,3.5499148024,4.5118955011,10.00579752,10.4940473852,10.7875412515,0.2376961751,4.6376851972,10.4468693555,2.2826842626,1.8601926229,2.6063557202,10.2251408185,10.6762286507,3.3143595566,0.37469
3.7977551942,10.5318055647,2.2357731486,1.3620279701,5.5728757366,4.3132301466,2.9438544456,0.2991303606,10.3667739515,9.9852629054,10.6554821072,5.1309508927,3.8379985948,4.8037832696,3.144809779,10.444947888,6.8022636537,10.6126538135,10.3843481497,0.0751899999999999
2.8202410209,10.6711250188,3.0703631842,2.0501125678,5.825148648,4.214000539,1.4907338656,1.2469384842,10.530364841,3.3525015811,10.4292964233,3.7684506081,3.6329846024,5.3352959047,5.2909677712,10.9698552293,2.0323161657,10.7741629756,10.6016053755,0.02256
1.9723685391,9.6608583439,9.7307061327,1.3919894676,1.6802324033,3.3461980276,3.3113541701,2.5245225953,10.4023853934,9.5953390858,10.1081109833,4.2189792693,9.4363038662,3.0604760569,10.2998596622,1.6400850306,10.0469990141,10.0612527755,9.9423063405,0.1842099999999999
3.8017868291,10.2256295381,5.1767160119,2.2628695944,2.3490590173,4.766799369,3.7291214629,3.2684787322,10.1012601218,9.8188070062,10.5649225532,0.4745495749,3.1099352963,3.8375436532,8.115241943,10.4035152769,7.3549282881,10.7531483467,10.6877355001,0.08772
1.0579731427,0.1900143859,10.1545663609,2.557024652,5.604942086,0.441696458,3.4123292977,10.6990233999,10.1417036064,10.5123864133,5.6471125486,4.8031813629,10.2633348288,0.4296290188,2.6552726323,0.9353626942,10.7290566322,10.5698525758,4.5074325979,0.62657
2.0527686965,2.3017687177,10.7169916441,0.9964635117,2.1264800857,1.8884610058,2.5029951659,10.0582563937,10.2336508262,10.2710390867,0.3723703212,2.4277626888,10.137847612,2.4420945392,2.6660153983,4.9730066881,10.401603774,10.643732315,9.4009972888,0.36717
0.8812812225,9.942997451,6.5639896174,0.4633397533,5.1809405436,2.5876719495,0.2204173621,2.7473638777,10.0940284634,9.8199923225,10.6258187396,3.3013440165,6.6599078504,3.9602677532,10.5834511363,6.9840262021,10.1875185336,10.2517582542,10.150774828,0.1917299999999999
1.2939167271,5.6652856144,10.3381885847,1.9118049806,5.3422319548,5.1350506071,5.6557988136,10.4906513596,10.5032435027,10.425570315,2.7768280702,5.7152018762,10.5843307253,4.8996320287,2.6687346875,3.1638970779,10.2307782162,10.4571482815,4.8360373858,0.7330800000000001
1.7947585166,1.6031410116,10.6975871062,1.3703129834,1.0517054826,4.2704814348,3.8009373315,10.4141241803,10.2648794264,10.6551523011,6.3465170573,2.5531751206,10.4754365059,2.7849028424,5.1792394747,1.3378174688,10.3663038927,10.2282935829,4.9219337635,0.43358
4.659265922,6.3073288786,10.6234797065,0.3710743517,1.7913565656,2.8491463052,4.7129204552,10.2102586359,10.1949308841,10.6414795189,4.5806840284,4.3173482051,10.6776834433,1.6782606041,5.3875410337,0.8027310523,10.358993558,10.3306966819,3.8948921899,0.6892199999999999
3.0164853612,10.3242576197,3.6908763195,2.4543124036,1.5188746669,5.0857850489,3.8059081946,6.9770944905,10.7342183785,10.1877049704,10.6716970388,1.888180494,4.5579790858,4.9600344005,7.7670520074,8.1254131542,8.0047866193,10.4782275138,10.8089571763,0.10652
3.8873300185,4.9779690501,10.6487001912,3.3124747656,0.1393856475,1.3713933206,4.3012603616,10.6630482201,10.5408924277,10.399664299,3.9154279261,0.2198575297,10.239443349,1.2892899313,2.1017991251,0.3634781906,10.7999683961,9.7303188556,2.6966863774,0.7782
3.1165446599,1.9572883549,10.1155301268,4.6818824364,5.9661279383,3.3325079942,4.968132379,4.9769714159,10.5987719022,10.4113089221,8.4540269581,1.9798363446,10.4299029671,1.3084749776,0.0266914398,3.4759922155,10.1133057604,10.4978744796,10.570827337,0.28195
3.9446648319,4.0279544778,10.8691639305,7.396940899,5.3662361466,1.3992882223,2.4005842847,10.5324147055,9.9963581947,10.2458470888,3.9770322199,2.1582332354,10.3828193883,5.7547852836,2.2257173013,3.232376687,10.562693593,10.2565583873,4.5349592858,0.78697
1.0773835058,9.3555790652,8.6668040393,3.0969325891,9.2135904447,9.2098779544,4.4071614184,2.3341734811,10.1379531355,10.0287157825,9.1681389246,4.3903059103,10.1468542387,5.0115708927,9.0833914798,2.0789844616,9.8900142936,10.2212361161,10.1187701182,0.28446
0.8849610916,10.6783525961,0.1218063448,2.373445094,3.0108377787,4.8119391578,1.5703324767,5.3894915429,10.2199349892,3.1272835963,10.8019470615,2.8353679969,5.5080466016,1.9514743971,5.2716174323,10.6598717078,4.0219413182,10.6433802663,10.9481779165,0.03759
4.7630402174,4.7363105079,9.9705681465,1.8686795535,4.1553711124,4.710343223,4.5710449407,10.4488835915,10.7119997502,10.4063140098,1.6361897875,4.4738749787,10.6491557378,2.9574251874,4.6212804079,5.4808771236,10.339009523,10.4623063956,5.4564336478,0.9812
2.3321550249,1.7521379971,10.2127569302,0.2037585455,4.6655575342,4.4172159181,2.3828791036,9.9876095424,10.2796391969,10.6653671743,6.7213511584,4.5159903518,10.7090776557,5.8765195001,3.5383372977,3.8560720288,10.7072731587,10.1334725348,7.6869832815,0.74185
4.9111243329,4.7966367478,9.7237407477,1.1663977167,4.8364212774,2.3624392929,1.6444291261,1.9430489896,10.713580088,10.0369617729,7.7688434149,1.5547512907,10.2129246143,6.2824204864,10.2488383838,4.0730111534,10.5058078297,10.268905992,9.8699182714,0.2468699999999999
3.3547925045,3.5705948156,10.5420307657,1.4260868008,2.1317303426,0.4831709201,3.7224572214,10.4592519898,10.6364675309,10.4063570397,2.7702729441,3.5727066206,10.6200816086,2.1293563556,3.402434883,0.805083045,10.3332123364,10.2195520654,5.1629904685,0.8934799999999999
6.0862065419,3.8020405775,10.7030568025,2.6871319616,1.7151846799,2.2722539504,2.9547874582,10.4147899209,10.4545390827,10.5088663039,2.9700792285,2.5750725092,10.5694841371,2.9462679816,2.6988674709,4.8568846846,10.4135169425,10.0130365762,5.6027504745,0.87218
0.8248779528,0.0980872073,10.3582655684,2.3383206506,3.2049892361,3.6058970083,4.1881787051,10.7177066361,10.3686535324,10.568468326,4.5062081703,1.8998934306,10.3028198939,2.1964592436,2.237544146,1.9545082909,10.4961394381,10.4309730778,2.7100884587,0.6340899999999999
4.4190244912,1.44994913,10.4450408805,0.7293598719,4.9510493086,1.9799694889,0.810552118,9.9261151998,9.9977430895,10.3180558782,5.968496609,3.7799106739,10.8541021484,0.5510720602,5.0872886238,1.2593978543,10.5238852323,10.8334387302,4.8311526111,0.89975
5.9579264556,2.654635299,10.4456317696,1.3034369747,4.8559613162,5.6729367619,4.9065201669,9.9293719846,10.7978737433,10.537694287,5.1148730618,3.9423667931,9.8825340868,1.2921087526,2.6683962157,2.5208103771,10.6289686126,10.477474291,7.5226738077,0.36341
1.8791181423,10.7910774645,5.9921459635,4.0096102965,4.8297010932,0.3669170072,3.1620943567,4.2819182305,10.5730690318,6.2356547653,10.8697820647,3.92975043,0.6493370129,1.2914081106,5.2331932052,8.9908472436,7.5959712521,10.9774448698,10.8612524916,0.11404
5.551373373,4.5394802404,10.5606818604,3.6751053418,5.0062894104,0.4824046736,3.737948071,10.0898885152,9.6274910785,10.4788348085,5.4810727409,0.6278125915,10.6900024201,3.7655223841,4.6963902044,0.5994633624,10.5713991895,10.7357893631,6.7114787222,0.46115
2.1044371383,10.7299719878,0.8700368835,2.7141024733,2.4705705916,2.8257714101,1.2656205993,1.2592807917,10.9565642509,4.1000079439,10.6070461642,3.4201980129,2.7819518385,3.22130368,3.2851431091,10.6325300069,3.7628642967,10.540624112,10.6430746797,0.0476199999999999
3.6078630839,2.6464928111,10.5902443842,1.9167020246,6.4653646803,5.8240617546,2.6470712866,10.6496238112,10.2017687325,10.7573513292,2.4491525907,3.4245905406,10.4273827416,0.5203616451,0.902961753,3.2296525723,10.4968414946,9.8150890426,5.2106835182,0.80702
4.4669202421,5.7313731338,10.6167426907,3.4254833313,1.9678472142,4.1192836192,2.2650228074,10.318411382,10.6185867568,10.488381485,4.949641374,1.6135520941,10.4972286407,2.9618484078,2.2696306217,4.3973177261,10.4779300934,10.0836200854,4.742226905,0.8671700000000001
2.4256495522,2.076577367,10.3171165924,0.477231705,2.7289594469,2.4504189518,3.8893999935,10.444212332,10.043136222,10.4219593376,8.9685099573,3.3813055778,10.2232822747,2.6914977141,3.0522448798,2.2334465443,10.6247191706,10.5995657118,4.8273107408,0.46115
2.5003403855,4.3267972454,10.6929741498,2.7780566758,4.9395661684,5.4974804558,0.8438893235,10.4476758589,10.2684002176,10.8569455813,4.4518719171,2.9981072128,10.0151492942,1.3045241829,3.1741078796,4.0531281754,10.1204494852,10.5858450388,4.6916051741,0.66165
3.2631396463,1.3260158521,9.9933041365,4.8936011086,6.7933577101,7.7966152983,2.8524081842,10.3442842458,10.4399096132,10.5831371971,5.6522935931,0.981594879,10.6881770844,0.6763066106,5.7039731772,5.0569859142,10.0356635847,10.3883697756,7.7492058727,0.3095199999999999
2.6944848242,3.1003474954,10.4984628783,6.3517710393,4.459810774,1.2496308941,4.4228462831,10.9474692881,10.3705484466,10.4290857361,2.4587933561,5.2177707689,10.4530321522,3.3234198889,3.8885688733,4.50725346,10.0077503964,10.2145452958,5.4179381601,0.82206
